visibility,method,n,avg_rank,avg_runtime_sec
20,Known fault rate,58,2.293103448275862,13.131034974394174
20,Unknown fault rate,58,2.206896551724138,55.60857438630071
40,Known fault rate,58,1.9655172413793103,22.73190314605318
40,Unknown fault rate,58,1.7413793103448276,97.85403794666817
60,Known fault rate,58,1.5172413793103448,34.17586010900037
60,Unknown fault rate,58,1.4655172413793103,146.9041750883234
80,Known fault rate,58,1.5172413793103448,45.474993270019006
80,Unknown fault rate,58,1.4310344827586208,196.09763697920175
100,Known fault rate,58,1.2413793103448276,57.42137885915822
100,Unknown fault rate,58,1.293103448275862,246.66108588514658
